WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,DEPTH_IN_METERS,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,09/25/2008 01:30:00 PM,Eliza Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,428,,RAIN GAUGE,U,TPDES Sediment Data,"(30.2642461579302, -97.7700605859118)",1542085,30.2642461579302,-97.7700605859118,318247,false,
Barton Creek,09/25/2008 01:00:00 PM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,35,,RAIN GAUGE,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",1542079,30.2635351223695,-97.7709796798271,318242,false,
Barton Creek,09/19/2008 12:30:00 PM,Barton Creek @ Leif Johnson Pool,Stream,Surface Water,Flow/Rainfall,DAYS AFTER STORM,>,5,Days,Total,,50,,CALCULATION,U,Barton Creek Pool Study,"(30.2913642199493, -97.8492467053898)",1544181,30.2913642199493,-97.8492467053898,318041,false,
Barton Creek,09/15/2008 02:40:00 PM,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Flow/Rainfall,DAYS AFTER STORM,>,5,Days,Total,,51,,CALCULATION,U,Barton Creek Pool Study,"(30.2730736469462, -97.8432343429509)",1544329,30.2730736469462,-97.8432343429509,318049,false,
Barton Creek,09/15/2008 02:00:00 PM,Barton Creek @ Leif Johnson Pool,Stream,Surface Water,Flow/Rainfall,DAYS AFTER STORM,>,5,Days,Total,,50,,CALCULATION,U,Barton Creek Pool Study,"(30.2913642199493, -97.8492467053898)",1544321,30.2913642199493,-97.8492467053898,318490,false,
Barton Creek,09/15/2008 01:06:00 PM,Barton Creek @ Ogletree Pool,Stream,Surface Water,Flow/Rainfall,DAYS AFTER STORM,>,5,Days,Total,,49,,CALCULATION,U,Barton Creek Pool Study,"(30.3022731006164, -97.868544391745)",1544313,30.3022731006164,-97.868544391745,318489,false,
Barton Creek,09/15/2008 12:00:00 PM,Barton Creek @ Hwy 71 Downstream of Little Barton,Stream,Surface Water,Flow/Rainfall,DAYS AFTER STORM,>,5,Days,Total,,48,,CALCULATION,U,Barton Creek Pool Study,"(30.2962292409524, -97.9260928438428)",1544145,30.2962292409524,-97.9260928438428,318046,false,
Barton Creek,06/26/2008 10:15:00 AM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,4,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",2427463,30.2635351223695,-97.7709796798271,480448,false,
Barton Creek,05/21/2008 12:30:00 PM,Barton Creek Between Dams Upstream of Pool,Stream,Surface Water,Flow/Rainfall,DAYS AFTER STORM,>,5,Days,Total,,879,,CALCULATION,U,Barton Creek Pool Study,"(30.2636315522417, -97.7724721862967)",1529365,30.2636315522417,-97.7724721862967,316439,false,
Barton Creek,05/20/2008 02:45:00 PM,Barton Creek @ Leif Johnson Pool,Stream,Surface Water,Flow/Rainfall,DAYS AFTER STORM,>,5,Days,Total,,50,,CALCULATION,U,Barton Creek Pool Study,"(30.2913642199493, -97.8492467053898)",1529488,30.2913642199493,-97.8492467053898,316437,false,
Barton Creek,05/20/2008 10:37:00 AM,Barton Creek Downstream of Lost Creek Blvd,Stream,Surface Water,Flow/Rainfall,DAYS AFTER STORM,>,5,Days,Total,,51,,CALCULATION,U,Barton Creek Pool Study,"(30.2730736469462, -97.8432343429509)",1529358,30.2730736469462,-97.8432343429509,316438,false,
